,tweet
0,"It’s astonishing ⁦@chucktodd⁩ is host of the great ⁦@MeetThePress⁩ 
This interview is ridiculous &amp; embarrassing.  https://t.co/8j65GKDxtF"
1,Have they asked Melania for a comment about Trump’s newest rape accusation? I‘m old enough to remember how they repeatedly asked Hillary about Bill.
2,"Speaking of fact checking it’s striking that across the whole debate there’s just barely any examples of anyone saying anything blatantly false.

Trump talks for 10 minutes and he says dozens of wrong things."
3,"La imagen de portada en el @El_Universal_Mx (por cierto, una portada histórica) debe conmovernos. El gobierno de México tiene la obligación moral de ofrecer algo mejor para esta mujer y su hijo. Enseñarle al mundo que, a diferencia de Trump, en México hay compasión y humanidad. https://t.co/D0FngAFsND"
4,"In a perfect world Kamala Harris stops courting Bernie supporters, campaigns on being cop, and kick Trump’s teeth in. But we can’t have nice things."
5,This is terrifying!!🤬🤬 Trump!☠☠☠ https://t.co/WxxiAsOPIH
6,"I’m tired of hoping that Susan Collins does the right thing when, like with Brett Kavanaugh, she's shown that she only listens to Trump and Mitch McConnell time and time again. 

If you’re with me, be one of the first to contribute to our campaign today."
7,"@Lalalinder Het blijven natuurlijk kneuzen,die geen enkele
kans maken tegen Trump
Leer mij de Yanks kennen"
8,"It goes without saying that everyone on stage is an idiot. But they’re SCRIPTED idiots. Everything they say and do was formulated in some think tank. 

Trump, however, is unscripted and genuine. He’s fluid while they’re mechanical.

He’ll easily dismantle any and all of them."
9,"@healthpicker @jilevin Okay, trump."
10,"Speaking of fact checking it’s striking that across the whole debate there’s just barely any examples of anyone saying anything blatantly false.

Trump talks for 10 minutes and he says dozens of wrong things."
11,Trump has no class and no respect! https://t.co/Eq61vrVib9
12,Το Σάββατο 29/6 η συνάντηση Trump – Jinping στη G20 στην Ιαπωνία – Καθοριστική για την εμπορική διαμάχη ΗΠΑ – Κίνας  https://t.co/WzK0lP61C8
13,"@realDonaldTrump Name: Donald Trump
Zodiac Sign: Elephant
Home: porcelain shop"
14,"@DiamondandSilk So... when the Republicans had the House and the Senate for TWO YEARS with Trump as President, exactly what did they do about those issues?"
15,"After tonight’s #DemocraticDebate.......that whole Trump 3rd term thing is looking better and better. 

😁"
16,"Warren would make a fool of Trump. Strong, strong night for her. 
@ewarren"
17,"I worked in food service and preparation for over 20+ years. We served many scumbags. I never once viewed food tampering. If true, Eric Trump got off easy this week. I never served someone who stole from kids with cancer."
18,"Trump’s takeover of DC’s July 4th celebrations could potentially violate the Hatch Act. 
https://t.co/HT4U9BGb2Y"
19,"So, the guy who works for US says that the business of US that is conducted and paid for on behalf of US is none of our business. Let that sink in.  https://t.co/TnYcAcCyUv"
20,Graham has now taken his obsequious obedience to Trump to its logical conclusion: abandonment of the constitution itself in the service of a king. So much for that oath of office he took. https://t.co/6C8FtRCah8
21,"Trump Defends Conscience Rights for Pro-Life Doctors, Little Sisters of the Poor. 'We're With Them':"
22,"@HoToddi @DoxieMama007 Not any more thanks to President Trump and the Supreme Court of the United States of America.
The3 SCOTUS shot down Tax Payer Dollars paying for PP.
Pres. Trump moved this into action."
23,"“You can’t just make this all about Donald Trump. He’s an old show that people are getting tired of,” Elizabeth Warren says when Chris Matthews asks how she’d take him on as nominee. She argues that voters want to hear instead about her policy plans."
24,"“Don’t Send Your Children “ 
OBAMA said it not me!  

If you are here illegally you don’t have to go home but you got get the heck up out of this country.

RT so every democrat can see their lovely Obama said the same thing  Trump said! https://t.co/z0nHk5gq8w"
25,"Do not forget for a moment that the most important goal in November 2020 is to make Donald Trump a one-term president, and that the most important qualification for being the Democratic candidate is the ability to achieve that goal."
26,"During Joe Biden’s first two years as Vice President, 785 migrants died attempting to cross the border illegally, 204 more than during President Trump’s first two years. 

Where was Democrats' outrage then? #DemDebate"
27,"RT if you're ready for Trump-Pence 2020 TOMORROW!

#TrumpPence2020 https://t.co/KefjiM0TRo"
28,"Trump has already brought up election interference with Putin and has made it very clear that he would like it to happen again .. just as it did in 2016.
Democrats who think they can beat Trump in a ""fair"" election without impeaching him will LOSE.

https://t.co/qIUzJyHD3I"
29,#Trump tweeted that tonight’s #DemocraticDebate was boring. As if we aren’t aware that’s how he feels about anything he can’t eat or fuck.
30,"Trump's audience is stunned as he says this, alluding to McCain: ""We needed 60 votes &amp; we had 51, &amp; sometimes we had a hard time with a couple. Fortunately they're gone now. They've gone on to greener pastures. Or perhaps far less green, but they're gone. Very happy they're gone” https://t.co/KK698FkAeZ"
31,"@TulsiGabbard Taking a page out of Trump’s book, I see.  Are we all invited to the pity party?"
32,Independent. I voted for Obama and I voted for Trump. https://t.co/GnKyKQrhVX
33,"@TheReady1775 @Jamierodr14 @realDonaldTrump MSNBC are hypocrites, they smear trump for the past two years!!"
34,Strzok deja vu? 'Unmasker in Chief' Samantha Power spewed anti-Trump bias in government emails https://t.co/8vX6vuF7ZN
35,@TulsiGabbard He’s literally coming at Trump from the right? 😂
36,"@agraybee @TaritaC I mean, my guess is if someone beats Trump then we'd want that person to be serious on climate, yes?"
37,@ElaineEdwards5 @GarrettHaake @JulianCastro @BetoORourke That won't play well in Texas. He came off like a pint-sized bully. Rude and nasty. We don't want another miniature Trump.
38,"@GOP *Supports HC that would insure everyone, eliminating a huge expense for many.
*Supports common-sense immigration policies that actually work.
*Supports women's rights enough to leave such decisions to the woman and her doctor.
*Support a nuclear agreement, when Trump has NONE."
39,I asked President Trump whether he will ask Putin not to meddle in the 2020 election during their meeting. He said what he speaks to Putin about this week is “none of your business.”
40,@brianstelter I’m having trouble following trump’s account too https://t.co/rPvnMvUwKR
41,"Let's be clear, when Donny Deutsch angrily says Warren wouldn't do well because we need a ""stronger strength"" on the debate stage with Trump, he means ""a man."" 

Calling these dog whistles for what they are."
42,"Immigration Fights, Español Highlight Debate's First Night: They tried to grab the spotlight, offered policies, interrupted each other, and mostly steered clear of President Donald Trump (although the… https://t.co/JKpbeaGOkS #ImpeachTrump #ImpeachKavanaugh #TheResistance https://t.co/IUiWYeHpdz"
43,"Presidential Net Worth before and after being elected:

Before:

Bill &amp; Hillary Clinton—$480,000

The Obamas—$3M

Donald Trump—$4.5B

After:

Clintons—$100M+

Obamas—$40M+

Trump—$3.5B

Trump sacrificed his wealth for our nation, the rest sacrificed our nation for their wealth"
44,Trump urges faith-based groups to support his re-election bid https://t.co/l5taRa4ZuB via @nypost
45,#Trump tweeted that tonight’s #DemocraticDebate was boring. As if we aren’t aware that’s how he feels about anything he can’t eat or fuck.
46,Julian Castro is on a mission to take away one of President Trump's harshest weapons against immigrants — and he wants every 2020 candidate to get behind him. #DemDebate https://t.co/QmkNTlURlm
47,"Trump to reporter: What I say to Putin at G20 is none of your business.

This man is a dictator.
This man is a dictator.
This man is a dictator.
This man is a dictator.
This man is a dictator.

https://t.co/X2ZddkCtYL"
48,"1. Good debate 
2. Lots of substance 
3. My unscientific twitter says best performers were Warren, Castro, Booker
4. Science says worst performer was NBC sound team
5. They are all better than Donald J Trump 
6. Buenas noches"
49,"I just stayed up way past my bedtime to watch the full airing of  #TheInvestigation, a riveting, devastating presentation of Vol II of #MuellerReport outlining 10 instances of obstruction of justice by #POTUS #Trump. Well-worth the 1 hr, 15 min investment.
https://t.co/YGPLtryGRn"
50,U.S. women's soccer star Ali Krieger says Trump is angered by women he “cannot control or grope.” Truth.
51,"@usminority What I found weird was that they talked about daca and immigration and what they would do. Funny, they can vote on something bipartisan now but won’t!! They cannot compete with President Trump."
