,date,tweet,dirty_tweet
0,2019-06-25 15:23:17,Thank you for the awesome 27 years everybody and Thank you Sharad for the bikes,Thank you for the awesome 27 years everybody and Thank you Sharad for the bikes! https://t.co/UMg6k78C06
1,2019-06-17 10:39:13,Glad to be a part of this journey a timeless film Voicing it in Hindi with my own Simba The last time we did a film was around 15 years ago and it was Incredible and this time around its even more fun Hope everyone enjoys it 19th July onwards TheLionKing,Glad to be a part of this journey... a timeless film. Voicing it in Hindi with my own Simba. The last time we did a film was around 15 years ago and it was ‘Incredible’ and this time around its even more fun. Hope everyone enjoys it 19th July onwards. #TheLionKing https://t.co/rJEfxevA9k
2,2019-06-16 05:27:25,A foundation I named after my father aims to create a network of support for women No better day than FathersDay for me to introduce our website to the world,"A foundation I named after my father - @MeerFoundation - aims to create a network of support for women. No better day than #FathersDay for me to introduce our website to the world.

https://t.co/BB0Eipnwum"
3,2019-06-16 04:29:26,Ready for the match with the spirit of FathersDay Go India Go,Ready for the match with the spirit of #FathersDay. Go India Go!! https://t.co/o09xLTq5d3
4,2019-06-05 13:27:41,Thank u all for spending your Eid with me May God bless u all with health and happiness EidMubarak,Thank u all for spending your Eid with me... May God bless u all with health and happiness. #EidMubarak https://t.co/eXBfmDzVMt
5,2019-06-03 19:51:29,Another sweet picture from AbRam s birthday party fathersloveoverload,Another sweet picture from AbRam’s birthday party... #fathersloveoverload https://t.co/PrZ4yyLZe7
6,2019-06-03 16:44:53,My Trio of Sugar amp Spice amp everything Nice and oh yeah Gauri s too,My Trio of Sugar &amp; Spice &amp; everything Nice....and oh yeah!  Gauri’s too. https://t.co/KwtWYZa51m
7,2019-06-02 22:40:29,Dreamers r good But if those dreams r not given a direction they mean nothing These 2 fulfilled every dream I had over amp above every dream they had for themselves Adi amp Karan Y share this with all Cos u should know more important than ur dreams r those who fulfil them for u,"Dreamers r good. But if those dreams r not given a direction they mean nothing.These 2 fulfilled every dream I had,over &amp; above every dream they had for themselves.Adi &amp; Karan. Y share this with all? Cos u should  know, more important than ur dreams r those who fulfil them for u https://t.co/RzsMRYUMet"
8,2019-05-31 19:09:23,Good luck for Malaal Sanjay and my young friends amp Seen u grow before my eyes and will now see u on the screen Sharmin be as charming as your mother and Meezan draw the best from ur grandfather amp,"Good luck for #Malaal - Sanjay and my young friends @meezaanj &amp; @sharminsegal. Seen u grow before my eyes and will now see u on the screen. Sharmin be as charming as your mother and Meezan draw the best from ur grandfather &amp; @jaavedjaaferi. 

https://t.co/gQQH2FEeAx"
9,2019-05-24 14:45:14,Busy busy busy Time to think out of the box on Ted Talks Listening and Learning TedTalksIndiaNayiBaat On,Busy...busy...busy! Time to think out of the box on Ted Talks! Listening and Learning. #TedTalksIndiaNayiBaat.. On @StarPlus @TEDTalks https://t.co/6XkIyZINEy
